[2024-12-24 21:44:48,640: INFO: main : Welcome to our custome logging]
[2024-12-25 15:15:37,058: INFO: main : Welcome to our custome logging]
[2024-12-25 22:50:30,093: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 22:50:30,114: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 22:50:30,133: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:03:22,519: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:03:22,521: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:03:22,524: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:06:24,525: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:06:24,530: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:06:24,533: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:06:59,543: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:06:59,547: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:06:59,550: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:08:05,739: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:08:05,742: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:08:05,745: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:09:08,182: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:09:08,184: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:09:08,187: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:09:08,190: INFO: common : Directory created at artifacts]
[2024-12-25 23:09:08,192: INFO: common : Directory created at artifacts/data_ingestion]
[2024-12-25 23:10:00,988: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:10:00,991: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:10:00,994: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:10:00,997: INFO: common : Directory created at artifacts]
[2024-12-25 23:10:00,999: INFO: common : Directory created at artifacts/data_ingestion]
[2024-12-25 23:13:00,199: INFO: common : Yaml file loadded successfully from config\config.yaml]
[2024-12-25 23:13:00,202: INFO: common : Yaml file loadded successfully from params.yaml]
[2024-12-25 23:13:00,206: INFO: common : Yaml file loadded successfully from schema.yaml]
[2024-12-25 23:13:00,207: INFO: common : Directory created at artifacts]
[2024-12-25 23:13:00,207: INFO: common : Directory created at artifacts/data_ingestion]
[2024-12-25 23:13:00,573: INFO: 306392633 : Downloading file ]
[2024-12-26 19:11:53,766: INFO: main : Stagging Started DATA INGESTION]
[2024-12-26 19:11:53,767: INFO: main : Erro in the Stagging]
[2024-12-26 19:13:11,770: INFO: main : Stagging Started DATA INGESTION]
